id,player,piece,start,result,Site,survived,victory,survived_or_victory,match_name,killed_by
W-Q,white,Queen,e8,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
B-N-b,black,Knight,c6,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
B-K,black,King,d8,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
B-Q,black,Queen,h4,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
W-B-f,white,Bishop,h5,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
W-N-g,white,Knight,,white wins,https://lichess.org/j1dkb5dw,False,False,False,BFG9k (white) vs mamalak (black),B-Q
B-P-g,black,Pawn,,white wins,https://lichess.org/j1dkb5dw,False,True,False,BFG9k (white) vs mamalak (black),W-B-f
W-B-c,white,Bishop,,white wins,https://lichess.org/j1dkb5dw,False,False,False,BFG9k (white) vs mamalak (black),B-P-g
B-N-g,black,Knight,,white wins,https://lichess.org/j1dkb5dw,False,True,False,BFG9k (white) vs mamalak (black),W-B-c
W-N-b,white,Knight,c3,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
B-B-c,black,Bishop,b7,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
W-P-a,white,Pawn,a3,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
B-P-b,black,Pawn,b6,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
W-P-d,white,Pawn,d4,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
B-P-e,black,Pawn,e6,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
W-P-e,white,Pawn,e4,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
W-R-a,white,Rook,a1,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
W-K,white,King,e1,white wins,https://lichess.org/j1dkb5dw,True,False,False,BFG9k (white) vs mamalak (black),
W-R-h,white,Rook,h1,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
W-P-b,white,Pawn,b2,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
W-P-c,white,Pawn,c2,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
W-P-f,white,Pawn,f2,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
W-P-g,white,Pawn,g2,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
W-P-h,white,Pawn,h2,white wins,https://lichess.org/j1dkb5dw,True,False,True,BFG9k (white) vs mamalak (black),
B-P-a,black,Pawn,a7,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
B-P-c,black,Pawn,c7,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
B-P-d,black,Pawn,d7,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
