level_0,Site,SAN,LAN,player,from_and_piece,to_and_result,from,to,piece_moved,action,index,player_name,result,match_name,piece_id,killed
0,https://play.chess24.com/play/dd1c640dd89d,d4,d2-d4,white,d2,d4,d2,d4,Pawn,move,0,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-P-d,
1,https://play.chess24.com/play/dd1c640dd89d,Nf6,Ng8-f6,black,Ng8,f6,g8,f6,Knight,move,1,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-N-g,
2,https://play.chess24.com/play/dd1c640dd89d,Nf3,Ng1-f3,white,Ng1,f3,g1,f3,Knight,move,2,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-N-g,
3,https://play.chess24.com/play/dd1c640dd89d,g6,g7-g6,black,g7,g6,g7,g6,Pawn,move,3,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-P-g,
4,https://play.chess24.com/play/dd1c640dd89d,Bf4,Bc1-f4,white,Bc1,f4,c1,f4,Bishop,move,4,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-B-c,
5,https://play.chess24.com/play/dd1c640dd89d,Bg7,Bf8-g7,black,Bf8,g7,f8,g7,Bishop,move,5,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-B-f,
6,https://play.chess24.com/play/dd1c640dd89d,e3,e2-e3,white,e2,e3,e2,e3,Pawn,move,6,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-P-e,
0,https://play.chess24.com/play/dd1c640dd89d,O-O,O-O,black,e8,g8,e8,g8,King,move,7,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-K,
1,https://play.chess24.com/play/dd1c640dd89d,O-O,O-O,black,h8,f8,h8,f8,Rook,move,8,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-R-h,
8,https://play.chess24.com/play/dd1c640dd89d,Be2,Bf1-e2,white,Bf1,e2,f1,e2,Bishop,move,9,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-B-f,
9,https://play.chess24.com/play/dd1c640dd89d,d6,d7-d6,black,d7,d6,d7,d6,Pawn,move,10,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-P-d,
1,https://play.chess24.com/play/dd1c640dd89d,O-O,O-O,white,h1,f1,h1,f1,Rook,move,11,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-R-h,
0,https://play.chess24.com/play/dd1c640dd89d,O-O,O-O,white,e1,g1,e1,g1,King,move,12,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-K,
11,https://play.chess24.com/play/dd1c640dd89d,Nh5,Nf6-h5,black,Nf6,h5,f6,h5,Knight,move,13,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-N-g,
12,https://play.chess24.com/play/dd1c640dd89d,Bg5,Bf4-g5,white,Bf4,g5,f4,g5,Bishop,move,14,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-B-c,
13,https://play.chess24.com/play/dd1c640dd89d,h6,h7-h6,black,h7,h6,h7,h6,Pawn,move,15,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-P-h,
14,https://play.chess24.com/play/dd1c640dd89d,Bh4,Bg5-h4,white,Bg5,h4,g5,h4,Bishop,move,16,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-B-c,
15,https://play.chess24.com/play/dd1c640dd89d,g5,g6-g5,black,g6,g5,g6,g5,Pawn,move,17,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-P-g,
16,https://play.chess24.com/play/dd1c640dd89d,Nfd2,Nf3-d2,white,Nf3,d2,f3,d2,Knight,move,18,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-N-g,
17,https://play.chess24.com/play/dd1c640dd89d,Nf6,Nh5-f6,black,Nh5,f6,h5,f6,Knight,move,19,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-N-g,
18,https://play.chess24.com/play/dd1c640dd89d,Bg3,Bh4-g3,white,Bh4,g3,h4,g3,Bishop,move,20,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-B-c,
19,https://play.chess24.com/play/dd1c640dd89d,Nc6,Nb8-c6,black,Nb8,c6,b8,c6,Knight,move,21,"Nepomniachtchi, Ian",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",B-N-b,
20,https://play.chess24.com/play/dd1c640dd89d,Nc3,Nb1-c3,white,Nb1,c3,b1,c3,Knight,move,22,"Carlsen, Magnus",white wins,"Carlsen, Magnus (white) vs Nepomniachtchi, Ian (black)",W-N-b,
