BlackElo_broad,WhiteElo_broad,Opening_broad,death_position,killed_piece_id,killed_by_piece_id,counts
1100-1199,1400-1499,Other,c5,B-P-c,W-Q,1
1100-1199,1400-1499,Other,c6,B-N-b,W-B-f,1
1100-1199,1400-1499,Other,c7,B-R-a,W-Q,1
1100-1199,1400-1499,Other,d6,B-P-d,W-Q,1
1100-1199,1400-1499,Other,e6,B-N-g,W-N-g,1
1100-1199,1400-1499,Other,e6,B-P-e,W-P-d,1
1100-1199,1400-1499,Other,e6,W-N-g,B-B-c,1
1100-1199,1400-1499,Other,e6,W-P-d,B-N-g,1
1100-1199,1400-1499,Other,e7,W-N-b,B-R-a,1
1100-1199,1400-1499,Other,h3,B-B-c,W-P-g,1
1100-1199,1400-1499,Other,h3,B-P-h,W-R-h,1
1100-1199,1400-1499,Other,h3,B-Q,W-B-f,1
1100-1199,1400-1499,Other,h3,W-P-g,B-Q,1
1100-1199,1400-1499,Other,h3,W-P-h,B-B-c,1
1100-1199,1400-1499,Other,h3,W-R-h,B-Q,1
1100-1199,1400-1499,Other,h6,B-B-f,W-B-c,1
1100-1199,1400-1499,Other,h6,W-B-c,B-N-g,1
1400-1499,1400-1499,Other,a7,B-P-a,W-Q,1
1400-1499,1400-1499,Other,b5,B-B-c,W-P-d,1
1400-1499,1400-1499,Other,b5,B-P-b,W-Q,1
1400-1499,1400-1499,Other,b5,W-P-b,B-B-c,1
1400-1499,1400-1499,Other,b5,W-P-d,B-R-a,1
1400-1499,1400-1499,Other,c3,W-P-c,B-B-f,1
1400-1499,1400-1499,Other,c4,B-N-b,W-P-d,1
1400-1499,1400-1499,Other,c4,W-B-f,B-N-b,1
1400-1499,1400-1499,Other,c5,B-Q,W-Q,1
1400-1499,1400-1499,Other,d2,W-N-b,B-B-f,1
1400-1499,1400-1499,Other,d5,B-P-d,W-R-a,1
1400-1499,1400-1499,Other,d5,B-R-a,W-Q,1
1400-1499,1400-1499,Other,d5,W-R-a,B-R-a,1
1400-1499,1400-1499,Other,e4,W-P-e,B-B-c,1
1400-1499,1400-1499,Other,e5,B-P-e,W-Q,1
1400-1499,1400-1499,Other,g5,B-B-f,W-N-g,1
1400-1499,1400-1499,Other,g5,W-N-g,B-P-g,1
1400-1499,1400-1499,Other,g8,B-R-h,W-Q,1
1400-1499,1400-1499,Other,h6,B-N-g,W-B-c,1
1400-1499,1400-1499,Other,h6,W-B-c,B-P-g,1
1400-1499,1500-1599,Other,a3,W-P-a,B-Q,1
1400-1499,1500-1599,Other,a6,B-P-a,W-Q,1
1400-1499,1500-1599,Other,b4,W-P-b,B-Q,1
1400-1499,1500-1599,Other,c3,B-B-f,W-B-c,1
1400-1499,1500-1599,Other,c3,W-N-b,B-B-f,1
1400-1499,1500-1599,Other,c5,W-P-c,B-Q,1
1400-1499,1500-1599,Other,c6,B-P-c,W-Q,1
1400-1499,1500-1599,Other,d6,B-P-d,W-P-d,1
1400-1499,1500-1599,Other,d6,W-P-d,B-B-f,1
1400-1499,1500-1599,Other,d8,B-R-a,W-R-h,1
1400-1499,1500-1599,Other,d8,B-R-h,W-R-a,1
1400-1499,1500-1599,Other,d8,W-R-a,B-Q,1
1400-1499,1500-1599,Other,d8,W-R-h,B-R-h,1
1400-1499,1500-1599,Other,e4,W-B-f,B-B-c,1
1400-1499,1500-1599,Other,e5,B-P-e,W-P-d,1
1400-1499,1500-1599,Other,f3,B-N-b,W-B-f,1
1400-1499,1500-1599,Other,f3,W-N-g,B-N-b,1
1400-1499,1500-1599,Other,f5,B-P-g,W-P-e,1
1400-1499,1500-1599,Other,f5,W-P-e,B-B-c,1
1400-1499,1500-1599,Other,f6,B-N-g,W-B-c,1
1400-1499,1500-1599,Other,f6,W-B-c,B-P-g,1
1400-1499,1500-1599,Other,h2,W-P-h,B-B-f,1
1400-1499,1500-1599,Other,h6,B-P-h,W-Q,1
1400-1499,1600-1699,French Defense,f7,B-P-f,W-Q,1
1400-1499,1600-1699,French Defense,h4,W-N-g,B-Q,1
1400-1499,1600-1699,French Defense,h5,B-P-g,W-B-f,1
1400-1499,1600-1699,French Defense,h6,B-N-g,W-B-c,1
1400-1499,1600-1699,French Defense,h6,W-B-c,B-P-g,1
1500-1599,1500-1599,Other,b2,W-P-b,B-R-a,1
1500-1599,1500-1599,Other,b3,B-N-b,W-Q,1
1500-1599,1500-1599,Other,b3,W-B-f,B-N-b,1
1500-1599,1500-1599,Other,b7,B-P-b,W-Q,1
1500-1599,1500-1599,Other,d2,B-R-a,W-N-g,1
1500-1599,1500-1599,Other,d2,W-N-b,B-R-a,1
1500-1599,1500-1599,Other,g5,B-P-g,W-N-g,1
1500-1599,1500-1599,Other,h3,W-P-h,B-B-c,1
1700-1799,1600-1699,Other,c7,B-P-c,W-N-b,1
1700-1799,1600-1699,Other,d5,B-P-d,W-N-b,1
1700-1799,1600-1699,Other,f2,B-B-f,W-K,1
1700-1799,1600-1699,Other,f2,W-P-f,B-B-f,1
1700-1799,1700-1799,Other,a7,B-B-f,W-B-c,1
1700-1799,1700-1799,Other,a7,W-B-c,B-R-a,1
1700-1799,1700-1799,Other,d5,B-P-d,W-P-e,1
1700-1799,1700-1799,Other,d5,W-P-e,B-N-b,1
1700-1799,1700-1799,Other,e5,B-P-e,W-Q,1
1700-1799,1700-1799,Other,e7,B-N-b,W-R-a,1
1700-1799,1700-1799,Other,e7,W-R-a,B-K,1
1700-1799,1700-1799,Other,f3,B-B-c,W-Q,1
1700-1799,1700-1799,Other,f3,W-N-g,B-B-c,1
1700-1799,1700-1799,Other,h5,B-P-h,W-B-f,1
1700-1799,1700-1799,Other,h8,B-R-h,W-Q,1
1800-1899,1700-1799,French Defense,d1,B-N-g,W-R-h,1
1800-1899,1700-1799,French Defense,d1,W-Q,B-N-g,1
1800-1899,1700-1799,French Defense,e6,B-P-e,W-B-f,1
1800-1899,1700-1799,French Defense,e6,W-B-f,B-B-c,1
1800-1899,1700-1799,French Defense,f1,B-N-b,W-K,1
1800-1899,1700-1799,French Defense,f1,W-R-h,B-N-b,1
1800-1899,1700-1799,French Defense,f7,B-P-f,W-N-g,1
1800-1899,1700-1799,French Defense,f7,W-N-g,B-K,1
1800-1899,1700-1799,French Defense,g4,W-P-g,B-N-g,1
1800-1899,1700-1799,French Defense,h3,W-P-h,B-B-c,1
1900-1999,1600-1699,Queen's Pawn Game,d4,W-P-d,B-N-b,1
1900-1999,1600-1699,Queen's Pawn Game,e4,B-P-d,W-N-b,1
1900-1999,1600-1699,Queen's Pawn Game,e4,W-P-e,B-P-d,1
1900-1999,1600-1699,Queen's Pawn Game,f6,B-N-g,W-B-c,1
1900-1999,1600-1699,Queen's Pawn Game,g6,B-B-c,W-N-g,1
1900-1999,1600-1699,Queen's Pawn Game,g6,W-N-g,B-P-h,1
1900-1999,1600-1699,Queen's Pawn Game,g7,B-P-g,W-Q,1
1900-1999,1600-1699,Queen's Pawn Game,h1,B-R-h,W-Q,1
1900-1999,1600-1699,Queen's Pawn Game,h1,W-R-h,B-R-h,1
1900-1999,1600-1699,Queen's Pawn Game,h2,W-P-h,B-R-h,1
1900-1999,1600-1699,Queen's Pawn Game,h8,B-Q,W-Q,1
1900-1999,1600-1699,Queen's Pawn Game,h8,B-R-a,W-B-c,1
1900-1999,1600-1699,Queen's Pawn Game,h8,W-Q,B-R-a,1
1900-1999,1800-1899,Other,a4,B-P-b,W-K,1
1900-1999,1800-1899,Other,a4,W-P-a,B-P-b,1
1900-1999,1800-1899,Other,b2,W-P-b,B-B-f,1
1900-1999,1800-1899,Other,c3,W-P-c,B-B-f,1
1900-1999,1800-1899,Other,d4,W-P-d,B-B-f,1
1900-1999,1800-1899,Other,e3,B-Q,W-P-f,1
1900-1999,1800-1899,Other,e3,W-Q,B-Q,1
1900-1999,1800-1899,Other,e4,B-P-d,W-N-b,1
1900-1999,1800-1899,Other,e4,W-P-e,B-P-d,1
1900-1999,1800-1899,Other,e5,W-P-f,B-B-f,1
1900-1999,1800-1899,Other,e6,B-P-e,W-B-f,1
1900-1999,1800-1899,Other,e6,B-P-f,W-N-g,1
1900-1999,1800-1899,Other,e6,W-B-f,B-P-f,1
1900-1999,1800-1899,Other,f1,B-R-a,W-R-a,1
1900-1999,1800-1899,Other,f1,W-R-h,B-R-a,1
1900-1999,1800-1899,Other,f4,B-N-b,W-N-g,1
1900-1999,1800-1899,Other,f4,W-B-c,B-N-b,1
1900-1999,1800-1899,Other,f6,B-N-g,W-N-b,1
1900-1999,1800-1899,Other,f6,W-N-b,B-N-b,1
1900-1999,1800-1899,Other,f8,B-R-h,W-R-a,1
1900-1999,1800-1899,Other,f8,W-R-a,B-K,1
1900-1999,1800-1899,Other,g5,B-P-h,W-K,1
1900-1999,1800-1899,Other,g6,B-B-c,W-N-g,1
1900-1999,1800-1899,Other,g6,W-N-g,B-P-h,1
