BlackElo_broad,WhiteElo_broad,Opening_broad,killed_piece_id,killed_by_piece_id,counts,total_matches,link,team,killed_piece,killer_piece
0-1249,0-1249,Other,B-B-c,W-K,2,984,link,B,Bishop,King
0-1249,0-1249,Other,B-B-c,W-N-g,1,984,link,B,Bishop,Knight
0-1249,0-1249,Other,B-B-f,W-B-c,3,984,link,B,Bishop,Bishop
0-1249,0-1249,Other,B-N-b,W-P-g,2,984,link,B,Knight,Pawn
0-1249,0-1249,Other,B-N-b,W-Q,1,984,link,B,Knight,Queen
0-1249,0-1249,Other,B-N-g,W-B-f,1,984,link,B,Knight,Bishop
0-1249,0-1249,Other,B-N-g,W-K,1,984,link,B,Knight,King
0-1249,0-1249,Other,B-N-g,W-N-b,1,984,link,B,Knight,Knight
0-1249,0-1249,Other,B-P-a,W-K,1,984,link,B,Pawn,King
0-1249,0-1249,Other,B-P-a,W-Q,1,984,link,B,Pawn,Queen
0-1249,0-1249,Other,B-P-a,W-R-a,1,984,link,B,Pawn,Rook
0-1249,0-1249,Other,B-P-b,W-P-g,1,984,link,B,Pawn,Pawn
0-1249,0-1249,Other,B-P-b,W-Q,1,984,link,B,Pawn,Queen
0-1249,0-1249,Other,B-P-c,W-B-c,1,984,link,B,Pawn,Bishop
0-1249,0-1249,Other,B-P-c,W-N-b,1,984,link,B,Pawn,Knight
0-1249,0-1249,Other,B-P-d,W-N-b,1,984,link,B,Pawn,Knight
0-1249,0-1249,Other,B-P-d,W-P-b,1,984,link,B,Pawn,Pawn
0-1249,0-1249,Other,B-P-d,W-P-d,1,984,link,B,Pawn,Pawn
0-1249,0-1249,Other,B-P-e,W-B-c,1,984,link,B,Pawn,Bishop
0-1249,0-1249,Other,B-P-e,W-B-f,1,984,link,B,Pawn,Bishop
0-1249,0-1249,Other,B-P-e,W-K,1,984,link,B,Pawn,King
0-1249,0-1249,Other,B-P-f,W-K,1,984,link,B,Pawn,King
0-1249,0-1249,Other,B-P-f,W-N-b,1,984,link,B,Pawn,Knight
0-1249,0-1249,Other,B-P-f,W-R-h,1,984,link,B,Pawn,Rook
0-1249,0-1249,Other,B-P-g,W-P-g,1,984,link,B,Pawn,Pawn
0-1249,0-1249,Other,B-P-h,W-K,1,984,link,B,Pawn,King
0-1249,0-1249,Other,B-Q,W-K,1,984,link,B,Queen,King
0-1249,0-1249,Other,B-Q,W-P-d,1,984,link,B,Queen,Pawn
0-1249,0-1249,Other,B-Q,W-R-a,1,984,link,B,Queen,Rook
0-1249,0-1249,Other,B-R-a,W-N-b,1,984,link,B,Rook,Knight
0-1249,0-1249,Other,B-R-h,W-B-c,2,984,link,B,Rook,Bishop
0-1249,0-1249,Other,B-R-h,W-N-g,1,984,link,B,Rook,Knight
0-1249,0-1249,Other,W-B-c,B-B-f,1,984,link,W,Bishop,Bishop
0-1249,0-1249,Other,W-B-c,B-K,1,984,link,W,Bishop,King
0-1249,0-1249,Other,W-B-c,B-Q,1,984,link,W,Bishop,Queen
0-1249,0-1249,Other,W-B-f,B-N-b,2,984,link,W,Bishop,Knight
0-1249,0-1249,Other,W-N-b,B-K,1,984,link,W,Knight,King
0-1249,0-1249,Other,W-N-b,B-Q,1,984,link,W,Knight,Queen
0-1249,0-1249,Other,W-N-g,B-B-c,1,984,link,W,Knight,Bishop
0-1249,0-1249,Other,W-N-g,B-N-b,1,984,link,W,Knight,Knight
0-1249,0-1249,Other,W-N-g,B-R-a,1,984,link,W,Knight,Rook
0-1249,0-1249,Other,W-P-a,B-N-b,1,984,link,W,Pawn,Knight
0-1249,0-1249,Other,W-P-b,B-Q,1,984,link,W,Pawn,Queen
0-1249,0-1249,Other,W-P-c,B-B-f,1,984,link,W,Pawn,Bishop
0-1249,0-1249,Other,W-P-c,B-P-d,1,984,link,W,Pawn,Pawn
0-1249,0-1249,Other,W-P-d,B-K,1,984,link,W,Pawn,King
0-1249,0-1249,Other,W-P-d,B-Q,1,984,link,W,Pawn,Queen
0-1249,0-1249,Other,W-P-e,B-P-d,2,984,link,W,Pawn,Pawn
0-1249,0-1249,Other,W-P-f,B-N-b,1,984,link,W,Pawn,Knight
0-1249,0-1249,Other,W-P-f,B-P-e,2,984,link,W,Pawn,Pawn
0-1249,0-1249,Other,W-P-g,B-P-f,1,984,link,W,Pawn,Pawn
0-1249,0-1249,Other,W-P-h,B-P-g,1,984,link,W,Pawn,Pawn
0-1249,0-1249,Other,W-Q,B-N-b,1,984,link,W,Queen,Knight
0-1249,0-1249,Other,W-Q,B-Q,1,984,link,W,Queen,Queen
0-1249,0-1249,Other,W-R-a,B-B-c,1,984,link,W,Rook,Bishop
0-1249,0-1249,Other,W-R-a,B-N-b,1,984,link,W,Rook,Knight
0-1249,0-1249,Other,W-R-h,B-B-c,1,984,link,W,Rook,Bishop
0-1249,0-1249,Queen's Pawn Game,B-B-c,W-B-f,1,984,link,B,Bishop,Bishop
0-1249,0-1249,Queen's Pawn Game,B-B-f,W-P-e,1,984,link,B,Bishop,Pawn
0-1249,0-1249,Queen's Pawn Game,B-N-b,W-B-f,1,984,link,B,Knight,Bishop
0-1249,0-1249,Queen's Pawn Game,B-N-g,W-B-c,1,984,link,B,Knight,Bishop
0-1249,0-1249,Queen's Pawn Game,B-P-d,W-B-f,1,984,link,B,Pawn,Bishop
0-1249,0-1249,Queen's Pawn Game,B-P-f,W-Q,1,984,link,B,Pawn,Queen
0-1249,0-1249,Queen's Pawn Game,B-P-g,W-B-c,1,984,link,B,Pawn,Bishop
0-1249,0-1249,Queen's Pawn Game,B-Q,W-B-f,1,984,link,B,Queen,Bishop
0-1249,0-1249,Queen's Pawn Game,W-B-c,B-B-f,1,984,link,W,Bishop,Bishop
0-1249,0-1249,Queen's Pawn Game,W-B-f,B-K,1,984,link,W,Bishop,King
0-1249,0-1249,Queen's Pawn Game,W-N-g,B-B-c,1,984,link,W,Knight,Bishop
0-1249,0-1249,Queen's Pawn Game,W-P-d,B-B-f,1,984,link,W,Pawn,Bishop
0-1249,0-1249,Queen's Pawn Game,W-P-g,B-B-c,1,984,link,W,Pawn,Bishop
0-1249,1250-1499,French Defense,B-P-f,W-P-e,1,984,link,B,Pawn,Pawn
0-1249,1250-1499,French Defense,W-B-f,B-N-b,1,984,link,W,Bishop,Knight
0-1249,1250-1499,French Defense,W-P-e,B-P-g,1,984,link,W,Pawn,Pawn
0-1249,1250-1499,French Defense,W-Q,B-N-b,1,984,link,W,Queen,Knight
0-1249,1250-1499,French Defense,W-R-a,B-B-f,1,984,link,W,Rook,Bishop
0-1249,1250-1499,King's Pawn Game,B-B-c,W-B-f,1,984,link,B,Bishop,Bishop
0-1249,1250-1499,King's Pawn Game,B-B-c,W-N-b,1,984,link,B,Bishop,Knight
0-1249,1250-1499,King's Pawn Game,B-B-c,W-Q,2,984,link,B,Bishop,Queen
0-1249,1250-1499,King's Pawn Game,B-B-f,W-B-c,2,984,link,B,Bishop,Bishop
0-1249,1250-1499,King's Pawn Game,B-B-f,W-N-b,1,984,link,B,Bishop,Knight
0-1249,1250-1499,King's Pawn Game,B-N-b,W-P-d,1,984,link,B,Knight,Pawn
0-1249,1250-1499,King's Pawn Game,B-N-b,W-R-h,1,984,link,B,Knight,Rook
0-1249,1250-1499,King's Pawn Game,B-N-g,W-B-c,2,984,link,B,Knight,Bishop
0-1249,1250-1499,King's Pawn Game,B-N-g,W-P-c,1,984,link,B,Knight,Pawn
0-1249,1250-1499,King's Pawn Game,B-N-g,W-Q,1,984,link,B,Knight,Queen
0-1249,1250-1499,King's Pawn Game,B-P-a,W-P-a,1,984,link,B,Pawn,Pawn
0-1249,1250-1499,King's Pawn Game,B-P-b,W-P-a,1,984,link,B,Pawn,Pawn
